MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-365.87302,156.61731,-23.427174,20.371567,24.87141,-12.418067,6.946209,-6.8352804,-21.312992,-2.7932243,-10.925137,-14.919212,-4.3798575
-357.4382,162.6039,-25.779095,16.17678,22.997719,-10.891975,8.794031,-5.377861,-16.16254,3.4003124,-9.181742,-17.68263,-10.255376
-358.26447,162.42975,-25.356098,14.186668,21.663784,-7.4229364,10.173826,-7.407309,-14.024319,6.312398,-7.988111,-14.5393095,-9.660639
-359.88934,160.95709,-25.029602,14.433996,19.17237,-10.339877,10.603771,-6.88336,-17.983805,3.639033,-2.8619652,-7.873216,-7.678647
-362.70392,155.70012,-28.794453,13.984576,17.759314,-12.735167,8.567251,-8.946041,-19.015022,3.5840719,-3.7060213,-10.326366,-9.016047
-361.1817,155.72849,-31.622179,12.74781,22.09948,-5.570257,11.716309,-10.431104,-21.315351,0.7382061,-5.688226,-9.547942,-8.602884
-362.26385,156.80455,-28.863943,12.214268,19.841358,-7.3117433,8.377918,-14.312033,-23.374935,0.72755563,-1.638643,-3.6602116,-5.9077535
-359.97864,161.0658,-25.693348,12.622048,18.041027,-11.900357,6.2561817,-11.824991,-21.205776,0.37695995,-6.8589344,-9.777578,-4.4240904
-366.76154,153.32245,-27.34982,14.982607,18.01101,-9.608615,15.047365,-6.0937138,-21.356895,-0.120213866,-7.85349,-7.993064,-1.0397612
-368.9065,152.3467,-26.35138,16.82978,20.147043,-11.366529,11.462975,-6.355937,-20.255276,2.7031817,-3.6276355,-8.0672245,-2.921777
-365.92136,156.4331,-20.936941,22.458256,21.654522,-13.630379,8.974979,-6.116601,-19.147171,-1.6536014,-11.67478,-11.615446,-0.17435324
-366.56964,152.66379,-24.87693,23.935947,24.66729,-12.762682,9.181397,-2.8876033,-12.298388,0.73746604,-16.498934,-15.144615,-2.4971392
-367.07587,152.4237,-24.084045,25.890423,26.75507,-12.069947,9.626903,-0.6803812,-8.219481,7.2409754,-9.633079,-15.708178,-11.231804
-363.9271,156.44585,-23.075151,21.721054,22.158537,-13.433033,5.40092,-8.574162,-11.875332,8.60362,-6.5885177,-11.374652,-5.797423
-365.84174,156.2402,-21.8392,18.901615,16.795547,-16.443707,3.8491924,-10.919292,-13.374935,7.720475,-8.840071,-12.7142515,-5.1937447
-368.83176,152.1137,-26.031586,16.651428,17.567839,-15.330491,5.020505,-10.651337,-15.244266,6.8019867,-9.418811,-13.5890465,-2.3490324
-370.7937,149.01134,-29.655571,13.948856,17.641962,-12.836557,8.667612,-7.0162363,-13.217977,7.2068877,-10.029499,-14.399012,-1.0703372
-370.3545,150.20844,-27.861885,16.785198,19.949535,-12.355814,14.310781,2.850559,-9.813108,8.049254,-6.5648375,-13.432016,0.66804194
-370.8944,145.1139,-30.926647,19.450375,17.53243,-14.117742,16.167189,0.4574304,-11.543788,6.305688,-11.3900795,-12.648054,2.9385142
-372.56076,144.98044,-26.441692,24.63232,20.561892,-10.873026,17.390795,-0.9284726,-12.6198845,3.5387597,-12.942495,-10.77614,1.105797
-368.62976,151.76866,-24.631977,21.154945,23.262138,-6.5483737,17.36104,-0.4901712,-15.267727,-1.4716097,-12.777642,-11.045752,-1.7867693
-362.37885,151.85684,-32.461403,18.163626,21.588615,-9.778694,17.550333,-1.1060671,-17.174877,1.1652013,-10.27803,-11.841452,-4.0515165
-367.33963,147.38841,-31.688454,21.004791,20.85944,-13.538385,15.741688,-0.5561586,-15.884282,3.3165221,-8.889364,-12.044077,-5.8577127
-371.42773,146.59917,-29.328537,21.196053,23.714207,-10.614122,14.263266,0.48912418,-9.208454,10.212664,-5.1694226,-10.267164,-2.1782963
-371.006,145.67691,-32.086052,17.668358,19.250042,-14.114485,14.134245,2.8835127,-7.366339,9.834018,-5.4128494,-8.587523,-0.71475184
-373.886,142.17886,-32.193108,18.858582,17.068962,-14.278816,19.231478,5.7310944,-12.238416,-0.28327537,-11.929062,-7.5083766,-1.0930896
-372.45398,142.5392,-30.899376,25.714521,22.67931,-17.812897,13.030951,5.0842476,-10.024728,1.2311754,-10.198902,-4.481533,4.539716
-374.82877,141.40132,-31.859161,25.008995,26.795197,-16.76959,7.5874653,2.3229134,-10.100132,2.4045813,-4.885043,-0.80765116,3.3092978
-365.35565,149.85304,-32.359406,20.108006,21.556202,-20.948887,6.4179544,1.207927,-15.85684,-4.433812,-8.256519,-1.0664272,5.0426784
-364.09177,149.88264,-32.73152,20.073288,19.957748,-21.1304,7.33744,1.623371,-15.7696705,-7.9245577,-11.193252,1.2787684,5.8866377
-370.4828,145.7647,-31.291273,23.31363,26.716839,-15.965303,5.6321115,1.740736,-8.89717,-4.019699,-14.768114,-3.1281252,3.5415807
-365.16653,148.79944,-29.535263,27.720833,24.514252,-22.376835,2.5260506,-1.0497444,-7.0767097,3.5803113,-15.001324,-10.216463,1.2688783
-362.4154,148.3287,-33.649197,25.91579,21.900612,-26.803665,0.27476954,-5.8497057,-16.715424,0.22638273,-10.579491,-11.266439,-5.518928
-347.76965,160.69847,-36.88421,17.704605,21.663246,-22.932346,-0.093418956,-6.302639,-14.405989,2.5897055,-5.7344117,-6.696498,-5.0933385
-346.28284,160.99095,-38.76801,14.902214,20.58329,-20.363682,-0.8562453,-10.882109,-12.412565,8.406429,-4.321042,-6.4316783,-4.9117208
-349.36542,158.34457,-34.480194,23.951382,24.5248,-22.489357,-5.3018656,-15.199217,-13.506981,7.8798122,-6.8930225,-7.930313,-5.8632007
-346.90652,161.56042,-34.434204,19.734852,20.198734,-21.6381,1.7273903,-11.619062,-18.867252,2.1669953,-9.490528,-8.766457,-3.0363374
-343.34085,165.52798,-38.716217,9.502017,17.505028,-19.622984,2.2357135,-9.624265,-18.985806,-0.6605545,-8.554212,-6.104432,-2.9436975
-345.6585,162.10585,-40.538067,11.195111,23.074915,-13.455631,3.6838143,-7.993891,-13.3468685,1.3150251,-9.32046,-4.952359,-3.0649614
-349.35272,159.57607,-39.16135,14.321764,25.703678,-13.67387,2.0164614,-9.3190975,-13.747839,3.998537,-8.239046,-11.928442,-10.450493
